year,month,day,hour,PM2.5,SO2,CO,RAIN,year_month
2013,3,1,0,6.0,5.0,800.0,0.0,2013-03-01
2013,3,1,1,6.0,5.0,800.0,0.0,2013-03-01
2013,3,1,2,5.0,5.5,700.0,0.0,2013-03-01
2013,3,1,3,6.0,6.0,650.0,0.0,2013-03-01
2013,3,1,4,5.0,5.0,600.0,0.0,2013-03-01
2013,3,1,5,4.0,3.0,700.0,0.0,2013-03-01
2013,3,1,6,3.0,3.0,700.0,0.0,2013-03-01
2013,3,1,7,5.0,3.0,800.0,0.0,2013-03-01
2013,3,1,8,5.0,5.0,900.0,0.0,2013-03-01
2013,3,1,9,4.0,6.0,900.0,0.0,2013-03-01
2013,3,1,10,7.0,8.0,900.0,0.0,2013-03-01
2013,3,1,11,3.0,8.0,800.0,0.0,2013-03-01
2013,3,1,12,9.0,8.0,800.0,0.0,2013-03-01
2013,3,1,13,10.0,9.0,900.0,0.0,2013-03-01
2013,3,1,14,13.0,8.0,800.0,0.0,2013-03-01
2013,3,1,15,13.0,8.0,800.0,0.0,2013-03-01
2013,3,1,16,11.0,6.0,800.0,0.0,2013-03-01
2013,3,1,17,10.0,4.0,800.0,0.0,2013-03-01
2013,3,1,18,11.0,6.0,900.0,0.0,2013-03-01
2013,3,1,19,11.0,8.0,1000.0,0.0,2013-03-01
2013,3,1,20,13.0,12.0,1100.0,0.0,2013-03-01
2013,3,1,21,15.0,14.0,1200.0,0.0,2013-03-01
2013,3,1,22,16.0,16.0,1200.0,0.0,2013-03-01
2013,3,1,23,16.0,14.0,1100.0,0.0,2013-03-01
2013,3,2,0,14.0,24.0,1399.0,0.0,2013-03-01
2013,3,2,1,18.0,25.0,1300.0,0.0,2013-03-01
2013,3,2,2,19.0,30.0,1100.0,0.0,2013-03-01
2013,3,2,3,15.0,20.0,1000.0,0.0,2013-03-01
2013,3,2,4,13.0,21.0,1200.0,0.0,2013-03-01
2013,3,2,5,12.0,26.0,1200.0,0.0,2013-03-01
2013,3,2,6,12.0,18.0,1000.0,0.0,2013-03-01
2013,3,2,7,3.0,19.0,1100.0,0.0,2013-03-01
2013,3,2,8,3.0,22.0,1200.0,0.0,2013-03-01
2013,3,2,9,10.0,30.0,1200.0,0.0,2013-03-01
2013,3,2,10,15.0,34.0,1300.0,0.0,2013-03-01
2013,3,2,11,20.0,27.0,1399.0,0.0,2013-03-01
2013,3,2,12,26.0,26.0,1200.0,0.0,2013-03-01
2013,3,2,13,31.0,23.0,1100.0,0.0,2013-03-01
2013,3,2,14,32.0,26.0,1200.0,0.0,2013-03-01
2013,3,2,15,36.0,40.0,1600.0,0.0,2013-03-01
2013,3,2,16,47.0,47.0,1600.0,0.0,2013-03-01
2013,3,2,17,59.0,50.0,1500.0,0.0,2013-03-01
2013,3,2,18,63.0,50.0,1600.0,0.0,2013-03-01
2013,3,2,19,70.0,62.0,1899.0,0.0,2013-03-01
2013,3,2,20,86.0,66.0,2100.0,0.0,2013-03-01
2013,3,2,21,98.0,67.0,2200.0,0.0,2013-03-01
2013,3,2,22,98.0,71.0,2500.0,0.0,2013-03-01
2013,3,2,23,86.0,71.0,2600.0,0.0,2013-03-01
2013,3,3,0,81.0,64.0,2500.0,0.0,2013-03-01
2013,3,3,1,80.0,66.0,3000.0,0.0,2013-03-01
2013,3,3,2,84.0,66.0,3799.0,0.0,2013-03-01
2013,3,3,3,87.0,50.0,2600.0,0.0,2013-03-01
2013,3,3,4,79.0,42.0,2100.0,0.0,2013-03-01
2013,3,3,5,54.0,56.0,3799.0,0.0,2013-03-01
2013,3,3,6,76.0,47.0,3700.0,0.0,2013-03-01
2013,3,3,7,82.0,46.0,2899.0,0.0,2013-03-01
2013,3,3,8,78.0,52.0,2899.0,0.0,2013-03-01
2013,3,3,9,77.0,60.0,3399.0,0.0,2013-03-01
2013,3,3,10,87.0,80.0,3000.0,0.0,2013-03-01
2013,3,3,11,97.0,74.0,3000.0,0.0,2013-03-01
2013,3,3,12,102.0,68.0,3100.0,0.0,2013-03-01
2013,3,3,13,113.0,66.0,2399.0,0.0,2013-03-01
2013,3,3,14,127.0,53.0,1800.0,0.0,2013-03-01
2013,3,3,15,97.0,19.0,1000.0,0.0,2013-03-01
2013,3,3,16,61.0,20.0,1100.0,0.0,2013-03-01
2013,3,3,17,44.0,25.0,1300.0,0.0,2013-03-01
2013,3,3,18,78.0,81.0,2299.0,0.0,2013-03-01
2013,3,3,19,150.0,60.0,2100.0,0.0,2013-03-01
2013,3,3,20,126.0,7.0,900.0,0.0,2013-03-01
2013,3,3,21,34.0,3.0,800.0,0.0,2013-03-01
2013,3,3,22,14.0,12.0,1100.0,0.0,2013-03-01
2013,3,3,23,20.0,24.0,1800.0,0.0,2013-03-01
2013,3,4,0,28.0,23.0,1600.0,0.0,2013-03-01
2013,3,4,1,23.0,15.0,900.0,0.0,2013-03-01
2013,3,4,2,16.0,9.0,800.0,0.0,2013-03-01
2013,3,4,3,13.0,10.0,900.0,0.0,2013-03-01
2013,3,4,4,13.0,10.0,1000.0,0.0,2013-03-01
2013,3,4,5,12.0,8.0,900.0,0.0,2013-03-01
2013,3,4,6,8.0,5.0,900.0,0.0,2013-03-01
2013,3,4,7,5.0,4.0,1000.0,0.0,2013-03-01
2013,3,4,8,7.0,17.0,1500.0,0.0,2013-03-01
2013,3,4,9,15.0,24.0,1600.0,0.0,2013-03-01
2013,3,4,10,19.0,21.0,1399.0,0.0,2013-03-01
